Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
716,Brandon Waselnuk,Squire.ai,http://ca.linkedin.com/in/brandonwaselnuk/,S21,750000000.0,153200000.0
717,Karl Clement,Squire.ai,https://www.linkedin.com/in/karlclement/,S21,750000000.0,153200000.0
718,Saumil Patel,Squire.ai,https://www.linkedin.com/in/saumilptl/,S21,750000000.0,153200000.0
719,Raffaele Colella,Mindmesh,https://www.linkedin.com/in/raffaelecolella/,S21,0.0,0.0
720,Ulysse Mizrahi,Mindmesh,https://www.linkedin.com/in/ulysse-mizrahi-3357a978/,S21,0.0,0.0
721,Sherwood Callaway,Opkit,https://www.linkedin.com/in/sherwoodcallaway/,S21,0.0,1130000.0
722,Justin Ko,Opkit,https://www.linkedin.com/in/justinmko/,S21,0.0,1130000.0
723,Taishi Nojima,Canopi,https://www.linkedin.com/in/taishi-nojima/,S21,0.0,0.0
724,Tomas Alvarez Belon,Canopi,https://www.linkedin.com/in/tomas-alvarez-belon/,S21,0.0,0.0
726,Michael Nino Evensen,Moving Parts,https://www.linkedin.com/in/michaelevensen/,S21,0.0,0.0
727,Vahur Hansen,Membo,https://linkedin.com/in/vahur-hansen-5372a498,S21,0.0,0.0
728,Paula Kink,Membo,https://www.linkedin.com/in/paulakink/,S21,0.0,0.0
729,Alison Greenberg,Ruth Health,https://www.linkedin.com/in/greenbergalison/,S21,0.0,3100000.0
730,Audrey Wu,Ruth Health,https://www.linkedin.com/in/audreyellenwu/,S21,0.0,3100000.0
731,Ben Share,Dime,https://www.linkedin.com/in/benshare/,S21,0.0,500000.0
732,Aaron Barbieri-Aghib,Dime,https://www.linkedin.com/in/aaron-barbieri-aghib-85b760103/,S21,0.0,500000.0
733,Owen Colegrove,Algofi,https://linkedin.com/in/owencolegrove,S21,0.0,2800000.0
734,John Clarke,Algofi,https://www.linkedin.com/in/jaclarke1/,S21,0.0,2800000.0
735,Salvador Rivero,Levo,https://www.linkedin.com/in/salvador-rivero-3031182b/,S21,0.0,0.0
736,Max Mergenthaler,Levo,https://www.linkedin.com/in/mergenthaler/,S21,0.0,0.0
737,Bruno Vegreville,Hera,https://www.linkedin.com/in/brunovegreville/,S21,0.0,1700000.0
738,Louise Bayssat,Hera,https://www.linkedin.com/in/louise-bayssat-53488a127/,S21,0.0,1700000.0
739,Blaze Cerovcec,Mixr,https://linkedin.com/in/blaze-cerovcec-201089161,S21,0.0,0.0
740,Eunice Wong,Milky Way AI,https://linkedin.com/in/eunicewes,S21,0.0,0.0
741,Sagar Setu,Milky Way AI,https://www.linkedin.com/in/sagarsetu/,S21,0.0,0.0
742,Santiago Ribadeneira,FastFarma,https://www.linkedin.com/in/sribadeneira/,S21,0.0,2100000.0
743,Marcelo Albuja,FastFarma,https://www.linkedin.com/in/marceloalbuja/,S21,0.0,2100000.0
744,Juan Carlos Holguin,FastFarma,https://www.linkedin.com/in/holguinjc/,S21,0.0,2100000.0
745,Nina Lu,Comet Health,https://www.linkedin.com/in/ninajlu,S21,0.0,0.0
746,Katy Honda,Comet Health,https://www.linkedin.com/in/katy-honda/,S21,0.0,0.0
747,Brennan McEachran,Hypercontext,https://www.linkedin.com/in/brennanmceachran/,S21,0.0,130000.0
748,Graham McCarthy,Hypercontext,https://www.linkedin.com/in/grahammccarthy,S21,0.0,130000.0
749,Skyler Aspegren,Apollo,https://www.linkedin.com/in/skyler-aspegren/,S21,0.0,261300000.0
750,Josh Wright,Apollo,https://www.linkedin.com/in/joshlwright/,S21,0.0,261300000.0
751,CG Chen,Ruta Health,https://www.linkedin.com/in/cgchen1/,S21,0.0,0.0
752,Geordie Graham,Ruta Health,https://www.linkedin.com/in/geordieg/,S21,0.0,0.0
753,Derek Ruohao Zhang,Ruta Health,https://www.linkedin.com/in/derek-r-zhang,S21,0.0,0.0
754,Alex Zvaniga,Ruta Health,https://www.linkedin.com/in/alexzvaniga/,S21,0.0,0.0
755,Jay Goel,Scratch Data,https://www.linkedin.com/in/jay-goel-67588220/,S21,0.0,0.0
756,Len Boyette,Scratch Data,https://www.linkedin.com/in/lenb/,S21,0.0,0.0
757,Kahlil Lalji,Ivella,https://www.linkedin.com/in/bykahlil/,S21,0.0,3975000.0
758,Vishal Dubey,Ivella,https://www.linkedin.com/in/vishaldubey01/,S21,0.0,3975000.0
759,Eric Wang,Ivella,https://www.linkedin.com/in/ericww2/,S21,0.0,3975000.0
