,Name,Company,LinkedIn,Batch
181,Angelo (KC) Huang,Swif.ai,https://www.linkedin.com/in/angelokh,S20
182,Ken Ahrens,Speedscale,https://www.linkedin.com/in/kahrens/,S20
183,Nate Lee,Speedscale,https://www.linkedin.com/in/nathaniellee/,S20
184,Matthew LeRay,Speedscale,https://www.linkedin.com/in/matthewleray/,S20
185,Mehrdad Shafaie,CoreCare,https://www.linkedin.com/in/mehrdad-shafaie-7904503b/,S20
186,Dennis Antonelos,CoreCare,https://www.linkedin.com/in/antonelos1/,S20
187,Yusuf Erkul,Kernal Biologics,https://www.linkedin.com/in/yusuf-erkul-b23b4516/,S20
188,Cafer Ozdemir,Kernal Biologics,https://www.linkedin.com/in/cafer-ozdemir-phd-22822321,S20
189,Burak YILMAZ,Kernal Biologics,http://linkedin.com/in/burak-yilmaz-84400730,S20
190,Aman Bhandula,Farmako Healthcare,https://www.linkedin.com/in/aman-bhandula-b71032132/,S20
191,Kaishu Sahu,Farmako Healthcare,https://linkedin.com/in/kaishu-sahu,S20
192,Abhinay Peddisetty,BukuWarung,https://www.linkedin.com/in/abh1nay/,S20
193,Chris Osborn,Dialect,http://linkedin.com/in/cbosborn,S20
194,Peter Wallach,Synapticure,https://www.linkedin.com/,S20
195,Brian Wallach,Synapticure,https://www.linkedin.com/in/brian-wallach-351b79171,S20
196,Martina de Majo,Synapticure,https://www.linkedin.com/in/martina-de-majo-3478554a,S20
197,Joshua Wong,Hypotenuse AI,https://www.linkedin.com/in/jwonged/,S20
198,Thiago Monteiro,Duckly,https://www.linkedin.com/in/monteirothiago/,S20
199,Dragos Fotescu,Duckly,https://www.linkedin.com/in/dragos-fotescu/,S20
200,Julian Lindinger,PowerUs,https://www.linkedin.com/in/julian-lindinger-82a4489b/,S20
201,Konrad Geiger,PowerUs,https://www.linkedin.com/in/konradgeiger/,S20
202,Matt Schulman,Pave,https://www.linkedin.com/in/matthew-schulman-15911861/,S20
203,Aldrin Clement,Novel,https://www.linkedin.com/in/aldrin-clement/,S20
204,Paul Clement,Novel,,S20
205,Mainak Sarkar,Explorex,https://www.linkedin.com/in/mainak-sarkar-679546107/,S20
206,Pritam Khan,Explorex,https://www.linkedin.com/in/iampkhan,S20
207,Rajith Shaji,Volopay,https://www.linkedin.com/in/rajiths/,S20
208,Rajesh Raikwar,Volopay,https://in.linkedin.com/in/rajeshraikwar,S20
209,Tim Boire,VenoStent,https://www.linkedin.com/in/timothy-boire-283bab10/,S20
210,Geoffrey Lucks,VenoStent,https://www.linkedin.com/in/geoffrey-lucks-0495a239/,S20
211,Masud Hossain,Queue,https://www.linkedin.com/in/masud-hossain-11a7baab/,S20
212,Ziyad Parekh,Safepay,https://www.linkedin.com/in/ziyad-parekh-b864b655,S20
213,Dawn Ho,Seam,https://www.linkedin.com/in/dawnho/,S20
214,Sy Bohy,Seam,https://www.linkedin.com/in/sybohy/,S20
215,Rodrigo Tognini,Conta Simples,https://www.linkedin.com/in/rodrigo-tognini-184287a7/,S20
216,Ricardo Gottschalk,Conta Simples,https://www.linkedin.com/in/ricardo-gottschalk-32786111/,S20
217,Fernando Santos,Conta Simples,https://www.linkedin.com/in/fernandorsantos/,S20
218,Nicolas Hourcard,QuestDB,https://www.linkedin.com/in/nicolas-hourcard-cfa-b7349b37/,S20
219,Tancrede Collard,QuestDB,https://www.linkedin.com/in/tancrede-collard-35228926/,S20
220,Vlad Ilyushchenko,QuestDB,https://www.linkedin.com/in/ilyushchenko/,S20
221,Nodar Daneliya,Shuttle,https://www.linkedin.com/in/ndaneliya/,S20
222,Vignan Velivela,AtoB,https://www.linkedin.com/in/vignanv8/,S20
223,Jack Pawlik,Dripos,https://www.linkedin.com/in/jack-pawlik/,S20
224,Avery Durrant,Dripos,https://www.linkedin.com/in/avery-durrant/,S20
225,Shyam Srinivasan,"Zitara Technologies, Inc.",https://www.linkedin.com/in/shyam-srinivasan-1a10b944/,S20
226,Evan Murphy,"Zitara Technologies, Inc.",https://www.linkedin.com/in/evan-murphy-swdev/,S20
227,Vojta Drmota,Momence,https://www.linkedin.com/in/vojta-drmota-84b493166/,S20
228,Matteo Carroll,Momence,https://www.linkedin.com/in/matteo-carroll-3095a3ba/,S20
229,Lyndsey Bunting,Blue Onion Labs,https://www.linkedin.com/in/lyndseybunting/,S20
230,Manav Malhotra,Blue Onion Labs,https://www.linkedin.com/in/manav-m/,S20
231,Charles McMillan,Blue Onion Labs,https://www.linkedin.com/in/charles-m-23674222/,S20
232,Hamzah Chaudhary,Lightdash,https://www.linkedin.com/in/hamzahc/,S20
233,Oliver Laslett,Lightdash,https://www.linkedin.com/in/olaslett/,S20
234,Gleb Mezhanskiy,Datafold,https://www.linkedin.com/in/glebmezh/,S20
235,Alex Morozov,Datafold,https://www.linkedin.com/in/alex-morozov-54b5081aa,S20
236,Oliver Edholm,Depict,https://linkedin.com/in/oliver-edholm-293950118/,S20
237,Tanmaya Jain,inFeedo AI,https://www.linkedin.com/in/tanmayajain/,S20
238,Varun Puri,inFeedo AI,https://linkedin.com/in/varunpuriinfeedo,S20
239,Advait Ruia,SuperTokens,https://www.linkedin.com/in/advait-ruia-2aa52a85/,S20
240,Joseph Nelson,Roboflow,https://www.linkedin.com/in/josephofiowa/,S20
241,Brad Dwyer,Roboflow,https://www.linkedin.com/in/brad-dwyer-b6b4136,S20
242,Dileep Thazhmon,Jeeves,https://www.linkedin.com/in/thazhmon/,S20
243,Kesava Kirupa Dinakaran,Luminai,https://www.linkedin.com/in/kesavakirupa/,S20
244,Darragh Buckley,Increase,https://www.linkedin.com/in/darragh-buckley-56096312,S20
245,Rujul Zaparde,Zip,https://www.linkedin.com/in/rujulz/,S20
246,Lu Cheng,Zip,https://www.linkedin.com/in/lu-cheng-973b7830/,S20
247,Vladimir Klimontovich,Jitsu,https://www.linkedin.com/in/klimontovich/,S20
248,Kashif Ali,Ukama,https://www.linkedin.com/in/kashif-ali-8882246/,S20
249,Michael Broughton,Altro (Acquired),https://www.linkedin.com/in/michael-j-broughton/,S20
250,Ayush Jain,Altro (Acquired),https://www.linkedin.com/in/ayushajain1/,S20
251,Ahmad Hammouda,Thndr,https://www.linkedin.com/in/ahmad-hammouda-cfa-a6575018/,S20
252,Seif Amr,Thndr,https://www.linkedin.com/in/seif486/,S20
253,Elizabeth Ruzzo,adyn,https://www.linkedin.com/in/elizabeth-ruzzo-706133b3/,S20
254,Prusothman Raja,twoplus fertility,https://www.linkedin.com/in/prusothman-sina-raja-93881440/,S20
255,Benjamin Tee,twoplus fertility,https://linkedin.com/in/benjamintee,S20
256,Sam Oshay,Recurrency,https://www.linkedin.com/in/soshay/,S20
257,Matt Rouif,Photoroom,https://www.linkedin.com/in/matthieurouif/,S20
258,Eliot Andres,Photoroom,https://www.linkedin.com/in/eliotandres/,S20
259,Keivan Shahida,Response,http://www.linkedin.com/in/keivanshahida/,S20
260,Kais Baillargeon,Response,http://www.linkedin.com/in/kaisbaillargeon,S20
261,Uday Singh,Salesform,,S20
262,Kwasi Oppong-Badu,Salesform,https://www.linkedin.com/in/kwasi-oppong-badu-638965144/,S20
263,Max Musing,Basedash,https://www.linkedin.com/in/MaxMusing,S20
264,Justin Rhee,Porter,https://www.linkedin.com/in/justin-rhee-61634112a/,S20
265,Mohamed Abedelmalik,Brevy,https://www.linkedin.com/in/abedelmalik/,S20
266,Conder Shou,Brevy,https://www.linkedin.com/in/conder-shou/,S20
267,Anika Zaman,Brevy,https://www.linkedin.com/in/anika-zaman/,S20
268,James Ruben,Hellosaurus,https://www.linkedin.com/in/jamesruben/,S20
269,Tom Giannattasio,Clover,https://www.linkedin.com/in/attasi,S20
270,Adam Christ,Clover,https://www.linkedin.com/in/adamchrist/,S20
271,Fitz Nowlan,Reflect,https://www.linkedin.com/in/fitz-nowlan,S20
272,Todd McNeal,Reflect,https://www.linkedin.com/in/toddmcneal/,S20
273,Tono Mandly,Riogrande,https://www.linkedin.com/in/tonomandly/,S20
274,Federico Naides,Riogrande,https://www.linkedin.com/in/fnaides/,S20
275,Cesar Talledo,Nestybox,https://www.linkedin.com/in/cesar-talledo-22863821/,S20
276,Rodny Molina,Nestybox,https://www.linkedin.com/in/rodnymolina,S20
